,match_id,match_date,sard_rank,sard_wr,sard_win,sard_team,t1_avg_rank,t2_avg_rank,t1_med_rank,t2_med_rank,t1_best_rank,t2_best_rank,t1_lowest_rank,t2_lowest_rank,t1_avg_role_note,t2_avg_role_note,t1_avg_wr,t2_avg_wr,t1_med_wr,t2_med_wr,t1_best_wr,t2_best_wr,t1_lowest_wr,t2_lowest_wr
70,KR_5946209635,2022-06-01 11:10:10.697,3.5,53.398058252427184,False,1,3.25,2.95,3.5,3.15,4.0,3.5,1.75,2.0,13.6,15.0,58.62589804383066,58.08629420164594,53.535353535353536,57.99951148021495,73.52941176470588,62.5,50.0,53.84615384615385
71,KR_5946232796,2022-06-01 10:30:04.678,3.5,53.398058252427184,False,2,2.9,2.8600000000000003,3.5,2.8,3.5,4.0,2.0,2.0,12.2,11.8,46.0844606135137,53.90449385142783,52.94117647058824,55.81395348837209,59.523809523809526,60.0,30.0,42.22222222222222
72,KR_5946114232,2022-06-01 09:39:46.407,3.5,53.398058252427184,True,2,2.8375000000000004,2.75,2.8000000000000003,2.75,4.0,3.5,1.75,2.0,17.5,17.25,58.70376559714794,57.62506624719507,56.80147058823529,55.27045769764216,66.66666666666666,68.29268292682927,54.54545454545454,51.66666666666667
73,KR_5945281473,2022-05-31 21:24:43.442,3.5,53.398058252427184,False,2,2.25,2.5,2.0,2.4499999999999997,3.5,3.5,1.75,1.75,15.8,16.0,48.67550323432677,49.712944983818765,46.2962962962963,53.333333333333336,56.75675675675676,56.00000000000001,41.911764705882355,40.0
74,KR_5945210277,2022-05-31 20:39:17.842,3.5,53.398058252427184,True,1,3.1125,2.22,3.35,2.0,3.5,2.8000000000000003,2.25,1.75,17.0,15.8,62.466861501882306,52.08944658944658,61.5,55.00000000000001,73.46938775510205,60.0,53.398058252427184,42.857142857142854
75,KR_5945147649,2022-05-31 20:09:47.787,3.5,53.398058252427184,True,1,3.125,2.55,3.1,2.0,3.5,3.5,2.8,1.75,12.5,10.8,60.50310663577401,63.09003721518614,53.5776418429766,64.70588235294117,92.0,70.96774193548387,42.857142857142854,52.32558139534884
76,KR_5945191342,2022-05-31 19:16:31.010,3.5,53.398058252427184,True,1,3.325,3.22,3.5,3.5,3.5,3.5,2.8,2.8,16.0,15.8,49.106968229504865,55.87938058203929,54.096289400186194,54.63917525773196,54.90196078431373,64.28571428571429,33.33333333333333,49.122807017543856
77,KR_5945015718,2022-05-31 18:36:03.976,3.5,53.398058252427184,True,1,3.22,2.41,3.5,2.0,3.5,3.5,2.8000000000000003,1.75,17.4,15.6,65.34045081132459,48.522694079316935,65.0,51.388888888888886,73.07692307692307,56.52173913043478,53.398058252427184,30.0
78,KR_5944716884,2022-05-31 17:43:32.735,3.5,53.398058252427184,False,1,3.06,3.4200000000000004,3.5,3.5,3.5,4.0,2.0,2.8,17.8,18.0,51.84751538417864,60.18614011320371,52.77777777777778,58.139534883720934,63.1578947368421,74.07407407407408,43.75,52.63157894736842
79,KR_5944568523,2022-05-31 17:01:13.851,3.5,53.398058252427184,True,2,2.8625,3.0250000000000004,2.9749999999999996,2.9000000000000004,3.5,3.5,2.0,2.8000000000000003,15.5,16.25,51.30823943770412,57.26583108971744,53.223388305847074,52.329281227053926,63.49206349206349,78.57142857142857,35.294117647058826,45.83333333333333
80,KR_5944279383,2022-05-31 14:45:40.504,3.5,53.398058252427184,True,2,2.766666666666667,2.87,2.8000000000000003,2.8000000000000003,3.5,3.5,2.0,2.4499999999999997,15.666666666666666,17.4,44.20235175753002,58.020104490978284,42.10526315789473,56.41025641025641,51.61290322580645,71.42857142857143,38.88888888888889,50.0
81,KR_5944262925,2022-05-31 14:10:04.857,3.5,53.398058252427184,True,1,3.05,2.7625,3.0,2.9000000000000004,3.5,3.5,2.4499999999999997,1.75,14.4,12.5,50.71263538629555,55.073891625615765,53.398058252427184,54.195402298850574,57.89473684210527,61.904761904761905,40.0,50.0
82,KR_5944215580,2022-05-31 13:26:29.132,3.5,53.398058252427184,False,2,2.97,2.56,2.8000000000000003,2.8000000000000003,6.0,3.5,1.5,1.75,12.8,11.0,49.75042622229555,53.69126666214045,45.97701149425287,53.84615384615385,73.68421052631578,56.666666666666664,40.0,50.0
83,KR_5944028790,2022-05-31 12:27:41.879,3.5,53.398058252427184,False,1,3.0333333333333337,3.3600000000000003,2.8000000000000003,3.5,3.5,4.0,2.8,2.8000000000000003,16.333333333333332,17.2,54.15737744216708,61.842226613965735,53.398058252427184,58.75,57.407407407407405,72.72727272727273,51.66666666666667,54.54545454545454
84,KR_5944104174,2022-05-31 11:55:57.264,3.5,53.398058252427184,True,2,2.25,3.15,1.75,3.5,3.0,3.5,1.75,2.25,12.6,14.2,57.02013818672059,65.14727334202772,56.25,66.66666666666666,66.66666666666666,70.0,50.0,53.398058252427184
